WA Num,Well Name,Operator,Abandoned Status Date,Casing Cutoff Flag,COR Flag
08453,CNRL ET AL  RING B- 028-A/094-H-16,Canadian Natural Resources Limited,03-FEB-2013,Y,Y
14737,CNRL   LADYFERN A- 088-G/094-H-01,Canadian Natural Resources Limited,03-FEB-2013,Y,N
11934,CNRL ET AL  RING A- 030-A/094-H-16,Canadian Natural Resources Limited,03-FEB-2013,Y,N
15875,CVE ENERGY ET AL  KELLY C- 068-B/093-P-01,Cenovus Energy Inc.,03-FEB-2013,Y,N
08002,CNRL ET AL  RING D- 012-I/094-H-09,Canadian Natural Resources Limited,02-FEB-2013,Y,N
07015,CNRL ET AL  RING B- 048-A/094-H-16,Canadian Natural Resources Limited,01-FEB-2013,Y,N
11875,CNRL ET AL  RING D- 061-B/094-H-16,Canadian Natural Resources Limited,01-FEB-2013,Y,Y
08665,CNRL   DRAKE D- 089-C/094-H-01,Canadian Natural Resources Limited,26-JAN-2013,Y,N
08699,CNRL   DRAKE A- 010-F/094-H-01,Canadian Natural Resources Limited,26-JAN-2013,Y,N
17544,CNRL   OSPREY B- 099-G/094-A-15,Canadian Natural Resources Limited,23-JAN-2013,Y,Y
08407,CNRL   DRAKE D- 030-F/094-H-01,Canadian Natural Resources Limited,22-JAN-2013,Y,N
15942,CNRL ET AL  RING B-A048-A/094-H-16,Canadian Natural Resources Limited,20-JAN-2013,Y,N
22060,SUKUNKA   SUKUNKA B- 044-B/093-P-05,Sukunka Natural Resources Inc.,19-JAN-2013,Y,Y
08829,CNRL   DRAKE D- 075-E/094-H-01,Canadian Natural Resources Limited,15-JAN-2013,Y,N
04295,CNRL   VELMA B- 088-D/094-H-08,Canadian Natural Resources Limited,12-JAN-2013,Y,N
14137,CNRL ET AL  HIDING B- 092-E/093-I-16,Canadian Natural Resources Limited,08-JAN-2013,Y,N
05948,CNRL ET AL  SIPHON  08-24-087-16,Canadian Natural Resources Limited,21-DEC-2012,Y,N
21311,KELT LNG ET AL  CACHE  01-16-088-22,Kelt Exploration (LNG) Ltd.,21-DEC-2012,Y,Y
12911,STRATHCONA ET AL  RIGEL  02-07-088-18,STRATHCONA RESOURCES LTD.,16-DEC-2012,Y,N
14275,CNRL   KAHNTAH B- 083-B/094-H-15,Canadian Natural Resources Limited,14-DEC-2012,Y,Y
03391,CNRL   SIKANNI B- 077-L/094-G-02,Canadian Natural Resources Limited,03-DEC-2012,Y,N
20289,PETRONAS   INGA  10-34-086-23,PETRONAS Energy Canada Ltd.,29-NOV-2012,Y,N
00525,PETRONAS ET AL  BLUEBERRY A- 061-L/094-A-12,PETRONAS Energy Canada Ltd.,29-NOV-2012,Y,N
19645,PETRONAS   JEDNEY B- 003-H/094-G-01,PETRONAS Energy Canada Ltd.,28-NOV-2012,Y,N
19485,PETRONAS   CAMERON B- 086-C/094-B-16,PETRONAS Energy Canada Ltd.,27-NOV-2012,Y,N
03973,CNRL   BUICK D-A057-I/094-A-11,Canadian Natural Resources Limited,24-NOV-2012,Y,N
12818,STRATHCONA   SQUIRREL  07-36-087-20,STRATHCONA RESOURCES LTD.,15-NOV-2012,Y,N
10670,STRATHCONA   RIGEL  06-10-088-18,STRATHCONA RESOURCES LTD.,14-NOV-2012,Y,N
11084,STRATHCONA   RIGEL  11-10-088-18,STRATHCONA RESOURCES LTD.,13-NOV-2012,Y,N
08914,STRATHCONA ET AL HZ OAK  03-20-086-18,STRATHCONA RESOURCES LTD.,12-NOV-2012,Y,N
02762,CNRL ET AL  INGA  14-20-086-23,Canadian Natural Resources Limited,07-NOV-2012,Y,N
02206,CNRL ET AL  INGA  06-31-086-23,Canadian Natural Resources Limited,07-NOV-2012,Y,N
14055,OVV   CUTBANK C- 029-A/093-P-08,Ovintiv Canada ULC,31-OCT-2012,Y,N
12167,STRATHCONA   OAK  13-26-085-18,STRATHCONA RESOURCES LTD.,29-OCT-2012,Y,N
11432,STRATHCONA ET AL  RIGEL  04-11-088-18,STRATHCONA RESOURCES LTD.,16-OCT-2012,Y,N
18263,ADVANTAGE ET AL  DOE  05-09-080-15,Advantage Oil & Gas Ltd.,05-OCT-2012,Y,N
12864,CNRL   ADSETT D- 018-J/094-J-02,Canadian Natural Resources Limited,05-OCT-2012,Y,N
17936,SATURN ET AL  PRINCETON C- 007-I/092-H-07,Saturn Oil & Gas Inc.,01-OCT-2012,Y,Y
16093,ADVANTAGE ET AL  DOE  10-22-080-14,Advantage Oil & Gas Ltd.,30-SEP-2012,Y,N
17138,ADVANTAGE   DOE  16-04-080-15,Advantage Oil & Gas Ltd.,30-SEP-2012,Y,N
16041,ADVANTAGE   SUNRISE  16-25-079-17,Advantage Oil & Gas Ltd.,29-SEP-2012,Y,N
16487,ADVANTAGE   DOE  06-08-080-15,Advantage Oil & Gas Ltd.,29-SEP-2012,Y,N
03786,CNRL ANDERSON  NIG A- 043-A/094-H-04,Canadian Natural Resources Limited,17-SEP-2012,Y,N
04550,CNRL  UNIT N GRIZZLY D- 041-G/093-I-15,Canadian Natural Resources Limited,14-SEP-2012,Y,N
09766,CNRL  HZ BUICK A- 058-I/094-A-11,Canadian Natural Resources Limited,13-SEP-2012,Y,N
12305,CNRL ET AL  INGA  07-07-087-23,Canadian Natural Resources Limited,11-SEP-2012,Y,N
04084,CNRL   OSPREY B- 086-J/094-A-15,Canadian Natural Resources Limited,10-SEP-2012,Y,N
05339,CNRL   BIRCH D- 020-I/094-A-13,Canadian Natural Resources Limited,07-SEP-2012,Y,N
06136,CNRL   BIRCH D- 031-J/094-A-13,Canadian Natural Resources Limited,07-SEP-2012,Y,N
10632,CNRL ET AL HZ GRAHAM A- 097-F/094-B-08,Canadian Natural Resources Limited,06-SEP-2012,Y,N
08192,CNRL ET AL  GRAHAM C- 098-F/094-B-08,Canadian Natural Resources Limited,04-SEP-2012,Y,N
23689,PETRONAS   CARIBOU A- 028-J/094-G-07,PETRONAS Energy Canada Ltd.,02-SEP-2012,Y,N
00357,PETRONAS ET AL  BLUEBERRY D-A050-K/094-A-12,PETRONAS Energy Canada Ltd.,02-SEP-2012,Y,N
09016,CNRL   BEAVERTAIL A- 050-A/094-A-15,Canadian Natural Resources Limited,30-AUG-2012,Y,N
11633,COP ET AL HZ W GUNDY A-A034-B/094-B-16,ConocoPhillips Canada Resources Corp.,25-AUG-2012,Y,N
01364,CANLIN   LAPRISE D- 011-E/094-H-05,Canlin Energy Corporation,20-AUG-2012,Y,N
01268,CNRL   BEG D- 013-B/094-G-01,Canadian Natural Resources Limited,17-AUG-2012,Y,N
27347,MANCAL   W PEEJAY D- 035-G/094-A-15,Mancal Energy Inc.,09-AUG-2012,Y,Y
08583,HARVEST CNRL  WEASEL A- 098-J/094-A-15,Harvest Operations Corp.,09-AUG-2012,Y,N
21698,PETRONAS   N PINE  09-23-085-18,PETRONAS Energy Canada Ltd.,03-AUG-2012,Y,N
08472,PETRONAS ET AL  BLUEBERRY D- 019-E/094-A-13,PETRONAS Energy Canada Ltd.,29-JUL-2012,Y,N
01488,CANLIN   LAPRISE A- 049-E/094-H-05,Canlin Energy Corporation,27-JUL-2012,Y,N
08780,CNRL ET AL  MURRAY C- 022-E/093-I-15,Canadian Natural Resources Limited,24-JUL-2012,Y,Y
06595,CVE ENERGY ET AL  WASP D- 037-L/093-P-07,Cenovus Energy Inc.,13-JUL-2012,Y,N
07470,CVE ENERGY ET AL  SUNDOWN B- 024-K/093-P-07,Cenovus Energy Inc.,12-JUL-2012,Y,N
17387,ORPHAN TERRA  WILDER  12-02-084-20,Orphan Fund,08-JUL-2012,Y,N
19167,OVV ECOG HZ CUTBANK C-C083-B/093-P-08,Ovintiv Canada ULC,08-JUL-2012,Y,N
17574,ORPHAN PREDATOR  WEST STODDART A16-10-086-21,Orphan Fund,07-JUL-2012,Y,N
01915,CNRL   BEAVERTAIL D- 073-C/094-A-15,Canadian Natural Resources Limited,03-JUL-2012,Y,N
00181,ORPHAN PREDATOR  FT ST JOHN  10-30-083-18,Orphan Fund,03-JUL-2012,Y,N
19166,OVV  HZ CUTBANK C-D083-B/093-P-08,Ovintiv Canada ULC,02-JUL-2012,Y,N
16666,OVV ECOG HZ CUTBANK C-A083-B/093-P-08,Ovintiv Canada ULC,01-JUL-2012,Y,N
10794,SHELL   SUNSET  04-10-081-18,Shell Canada Limited,29-JUN-2012,Y,Y
22037,KELT LNG ET AL  CACHE  15-19-088-22,Kelt Exploration (LNG) Ltd.,29-JUN-2012,Y,Y
03756,CNRL   N BUICK B-A048-F/094-A-14,Canadian Natural Resources Limited,23-JUN-2012,Y,N
11708,ERIKSON   HELMET C- 039-B/094-P-11,Erikson National Energy Inc.,12-JUN-2012,Y,Y
27409,TOURMALINE   GUNDY A-A062-B/094-B-16,Tourmaline Oil Corp.,04-JUN-2012,Y,N
19672,OVV ET AL  KELLY D- 089-G/093-P-01,Ovintiv Canada ULC,27-MAY-2012,Y,N
24514,TEI   KOMIE A- 009-K/094-O-01,Tallahassee Exploration Inc.,16-MAY-2012,Y,N
19171,CHEVRON WOODSIDE ACL  SANDY A- 096-G/094-O-13,Chevron Canada Limited,01-APR-2012,Y,N
14716,PARA   ETSHO A- 078-E/094-P-12,Paramount Resources Ltd.,31-MAR-2012,Y,Y
04677,PARA ET AL  LUCY A- 029-G/094-P-04,Paramount Resources Ltd.,31-MAR-2012,Y,N
04738,CNRL   LIME C- 096-C/094-H-01,Canadian Natural Resources Limited,30-MAR-2012,Y,N
12821,PACIFIC CANBRIAM ET AL  FEDERAL B- 051-K/094-B-07,Pacific Canbriam Energy Limited,30-MAR-2012,Y,N
26340,CNRL   W PEEJAY B- 021-G/094-A-15,Canadian Natural Resources Limited,29-MAR-2012,Y,N
00585,CANLIN   CLARKE D- 091-L/094-J-09,Canlin Energy Corporation,28-MAR-2012,Y,N
05486,HARVEST   ELM D-A055-C/094-H-07,Harvest Operations Corp.,27-MAR-2012,Y,N
13807,PARA ET AL  LUCY C- 008-G/094-P-04,Paramount Resources Ltd.,27-MAR-2012,Y,Y
01272,SABA O&G   S KOTCHO C- 098-G/094-I-14,Saba Oil & Gas Ltd.,27-MAR-2012,Y,Y
17095,PARA ET AL  OOTLA C- 021-I/094-O-09,Paramount Resources Ltd.,26-MAR-2012,Y,Y
17157,PARA ET AL  OOTLA C- 054-I/094-O-09,Paramount Resources Ltd.,25-MAR-2012,Y,Y
18584,GTE   BEATTON A-A062-K/094-H-02,Gran Tierra Canada Ltd.,25-MAR-2012,Y,N
06646,CNRL ET AL  WEASEL B- 038-B/094-H-02,Canadian Natural Resources Limited,25-MAR-2012,Y,N
01874,CNRL   WOLF D- 003-G/094-A-15,Canadian Natural Resources Limited,25-MAR-2012,Y,N
17516,ORPHAN   ZAREMBA C- 034-I/094-H-06,Orphan Fund,25-MAR-2012,Y,N
04914,COP   CACHE B- 064-I/094-A-12,ConocoPhillips Canada Resources Corp.,24-MAR-2012,Y,N
10442,ORPHAN   ZAREMBA A- 085-I/094-H-06,Orphan Fund,24-MAR-2012,Y,N
09122,CNRL   BLACK B- 052-I/094-H-05,Canadian Natural Resources Limited,21-MAR-2012,Y,Y
23943,SHOSHONI   SUNRISE  16-24-079-17,New Shoshoni Ventures Ltd.,21-MAR-2012,Y,Y
14245,CANLIN   CLARKE B- 061-G/094-J-10,Canlin Energy Corporation,19-MAR-2012,Y,N
09771,CNRL   DRAKE D- 070-C/094-H-01,Canadian Natural Resources Limited,19-MAR-2012,Y,N
14252,CANLIN  HZ CLARKE A- 051-G/094-J-10,Canlin Energy Corporation,18-MAR-2012,Y,N
03031,CANLIN ET AL  YOYO B- 004-I/094-I-13,Canlin Energy Corporation,17-MAR-2012,Y,N
01746,STRATHCONA ET AL  BEAVERDAM D- 037-L/094-A-16,STRATHCONA RESOURCES LTD.,17-MAR-2012,Y,Y
14789,CNRL   DRAKE C- 012-K/094-H-01,Canadian Natural Resources Limited,17-MAR-2012,Y,Y
06833,STRATHCONA ET AL  MILLIGAN B- 015-J/094-H-02,STRATHCONA RESOURCES LTD.,16-MAR-2012,Y,N
03424,CANLIN ET AL HZ YOYO D- 017-L/094-I-14,Canlin Energy Corporation,16-MAR-2012,Y,N
01266,STRATHCONA ET AL  W MILLIGAN C- 050-G/094-H-02,STRATHCONA RESOURCES LTD.,16-MAR-2012,Y,N
09512,CNRL   DOIG B- 039-G/094-A-16,Canadian Natural Resources Limited,16-MAR-2012,Y,N
01217,CNRL ET AL  MILLIGAN A- 043-G/094-H-02,Canadian Natural Resources Limited,16-MAR-2012,Y,N
05436,CVE ENERGY ET AL  SUNDOWN A- 049-J/093-P-07,Cenovus Energy Inc.,15-MAR-2012,Y,N
12114,STRATHCONA ET AL  ZAREMBA D- 053-I/094-H-06,STRATHCONA RESOURCES LTD.,15-MAR-2012,Y,Y
05283,CNRL   TOMMY B- 022-G/094-G-09,Canadian Natural Resources Limited,14-MAR-2012,Y,N
12588,CNRL ET AL  HIDING C- 063-B/093-I-16,Canadian Natural Resources Limited,14-MAR-2012,Y,N
05307,CVE ENERGY ET AL  NOEL D- 035-E/093-P-08,Cenovus Energy Inc.,14-MAR-2012,Y,N
13653,STRATHCONA   ELM D- 060-F/094-H-07,STRATHCONA RESOURCES LTD.,14-MAR-2012,Y,N
26049,CHEVRON WOODSIDE ECA  MCADAM B- 012-G/094-O-07,Chevron Canada Limited,14-MAR-2012,Y,Y
10991,STRATHCONA  HZ ELM D- 009-F/094-H-07,STRATHCONA RESOURCES LTD.,14-MAR-2012,Y,N
10245,CVE ENERGY   HIDING C- 073-B/093-I-16,Cenovus Energy Inc.,13-MAR-2012,Y,N
06226,CANLIN   SEXTET D- 011-K/094-I-12,Canlin Energy Corporation,13-MAR-2012,Y,N
22540,CNRL   BULLMOOSE D- 009-I/093-P-03,Canadian Natural Resources Limited,13-MAR-2012,Y,Y
05250,CNRL   TOMMY A- 047-G/094-G-09,Canadian Natural Resources Limited,13-MAR-2012,Y,N
05408,CVE ENERGY ET AL  NOEL D- 068-K/093-P-01,Cenovus Energy Inc.,13-MAR-2012,Y,N
00402,CNRL ET AL  MILLIGAN D- 054-G/094-H-02,Canadian Natural Resources Limited,13-MAR-2012,Y,N
18219,CNRL   DOIG D- 030-K/094-A-16,Canadian Natural Resources Limited,12-MAR-2012,Y,N
12705,CNRL   PEEJAY A- 078-E/094-A-16,Canadian Natural Resources Limited,12-MAR-2012,Y,N
07953,CVE ENERGY ET AL  NOEL B- 022-L/093-P-01,Cenovus Energy Inc.,12-MAR-2012,Y,N
13830,SPK ET AL  CLARKE LAKE D- 088-K/094-J-10,Spoke Resources Ltd.,12-MAR-2012,Y,N
18782,STRATHCONA   PRESPATOU A-A025-A/094-H-03,STRATHCONA RESOURCES LTD.,12-MAR-2012,Y,N
03733,CNRL ET AL  HELMET B- 007-L/094-P-08,Canadian Natural Resources Limited,11-MAR-2012,Y,N
00937,CNRL ET AL  MILLIGAN D- 083-G/094-H-02,Canadian Natural Resources Limited,11-MAR-2012,Y,N
