,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
747,1741,4800,1980-03-03,6800.0,1965-10-13,False,False,False,False,False,True,False,False,5255,1965
751,1752,4800,1995-07-13,3300.0,1965-11-04,False,False,False,False,False,False,False,True,10843,1965
762,1781,2900,1995-08-31,7600.0,1965-12-05,False,True,False,False,False,False,False,False,10861,1965
763,1781,2900,1995-08-31,7600.0,1965-12-05,False,True,False,False,False,False,False,False,10861,1965
773,1814,8600,1984-02-22,7770.0,1967-02-01,False,False,False,False,False,False,True,False,6230,1967
775,1821,4800,1991-12-12,6800.0,1966-01-18,False,False,False,False,False,True,False,False,9459,1966
778,1835,8500,1997-03-13,9000.0,1966-03-27,False,True,False,False,False,False,False,False,11309,1966
781,1843,4800,1976-01-22,3426.0,1966-01-21,False,False,False,False,False,True,False,False,3653,1966
785,1858,4535,1991-12-13,2000.0,1966-02-01,False,False,False,False,False,True,False,False,9446,1966
788,1866,8400,1992-02-04,3200.0,1966-03-02,False,True,False,False,False,False,False,False,9470,1966
789,1869,4800,1969-03-19,3426.0,1966-02-22,False,False,False,False,False,False,True,False,1121,1966
798,1905,2600,2023-02-06,6800.0,2002-02-11,False,True,False,False,False,False,False,False,7665,2002
799,1905,2700,2023-02-06,6800.0,2002-02-11,False,True,False,False,False,False,False,False,7665,2002
802,1913,8400,1997-02-09,3200.0,1966-05-06,False,True,False,False,False,False,False,False,11237,1966
810,1930,4800,1983-04-11,6800.0,1966-04-12,False,False,False,False,False,False,True,False,6208,1966
812,1937,7400,1985-02-04,3200.0,1966-04-22,False,False,False,False,False,False,False,True,6863,1966
814,1940,4100,2014-12-17,8360.0,2005-10-14,False,False,False,False,False,False,True,False,3351,2005
818,1954,4510,1987-01-14,3560.0,1966-08-20,False,True,False,False,False,False,False,False,7452,1966
820,1958,4520,2019-12-07,6460.0,2000-03-22,False,True,False,False,False,False,False,False,7199,2000
821,1959,6200,1983-08-16,8000.0,1966-08-27,False,True,False,False,False,False,False,False,6198,1966
827,1966,8400,2005-10-27,3200.0,1995-02-26,False,True,False,False,False,False,False,False,3896,1995
829,1973,2900,1994-11-10,7600.0,1966-08-29,False,False,True,False,False,False,False,False,10300,1966
830,1973,2900,1994-11-10,7600.0,1966-08-29,False,False,True,False,False,False,False,False,10300,1966
849,2012,4540,1980-12-17,9000.0,1966-12-19,False,True,False,False,False,False,False,False,5112,1966
854,2020,4575,1991-10-03,4900.0,1966-12-18,False,False,False,False,False,True,False,False,9055,1966
857,2023,4800,1989-04-04,6800.0,1966-12-24,False,False,False,False,False,True,False,False,8137,1966
858,2029,4575,1994-12-09,4900.0,1966-12-27,False,False,False,False,False,True,False,False,10209,1966
859,2029,4100,1994-12-09,4900.0,1966-12-27,False,False,False,False,False,True,False,False,10209,1966
860,2029,2900,1994-12-09,4900.0,1966-12-27,False,False,False,False,False,True,False,False,10209,1966
861,2029,2700,1994-12-09,4900.0,1966-12-27,False,False,False,False,False,True,False,False,10209,1966
873,2060,4530,1994-03-23,9000.0,1967-01-26,False,True,False,False,False,False,False,False,9918,1967
875,2062,4520,2006-01-30,9000.0,1977-06-06,False,False,False,False,False,False,True,False,10465,1977
878,2068,8600,1987-09-30,8800.0,1967-03-03,False,True,False,False,False,False,False,False,7516,1967
879,2069,2900,1996-07-12,2700.0,1967-01-29,False,True,False,False,False,False,False,False,10757,1967
