,WA,Form,Abandoned Status Date,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time
241,451,4100,2024-03-15,1959-05-22,False,True,False,False,False,False,False,False,23674
242,457,2900,2013-03-10,1959-06-09,False,True,False,False,False,False,False,False,19633
243,461,4800,2012-03-06,1959-07-28,False,True,False,False,False,False,False,False,19215
244,461,4100,2012-03-06,1959-07-28,False,True,False,False,False,False,False,False,19215
245,462,4100,2023-10-24,1959-08-20,False,True,False,False,False,False,False,False,23441
246,467,4100,1973-10-24,1959-08-26,False,True,False,False,False,False,False,False,5173
247,469,2900,2022-07-30,1959-08-03,False,True,False,False,False,False,False,False,23007
248,472,4100,2008-12-06,1959-08-20,False,True,False,False,False,False,False,False,18006
249,473,4150,2006-05-30,1959-09-08,False,True,False,False,False,False,False,False,17066
250,475,4150,2005-10-17,1959-09-22,False,True,False,False,False,False,False,False,16827
251,475,4800,2005-10-17,1959-09-22,False,True,False,False,False,False,False,False,16827
252,475,2600,2005-10-17,1959-09-22,False,True,False,False,False,False,False,False,16827
253,476,8400,1965-11-24,1959-12-18,False,False,False,False,False,False,True,False,2168
254,478,4100,1990-08-13,1959-09-29,False,True,False,False,False,False,False,False,11276
255,479,4100,2024-03-15,1959-11-06,False,False,False,False,False,False,False,True,23506
256,484,4150,2008-03-16,1959-10-14,False,False,True,False,False,False,False,False,17686
257,484,4800,2008-03-16,1959-10-14,False,False,True,False,False,False,False,False,17686
258,492,4150,2022-11-10,1959-11-07,False,True,False,False,False,False,False,False,23014
259,492,2600,2022-11-10,1959-11-07,False,True,False,False,False,False,False,False,23014
260,494,8400,1960-07-09,1960-07-09,False,False,False,False,False,False,True,False,0
261,494,7400,1960-07-09,1960-07-09,False,False,False,False,False,False,True,False,0
262,496,2900,2022-10-12,1959-11-11,False,True,False,False,False,False,False,False,22981
263,501,4535,1986-05-08,1959-10-16,False,False,False,False,False,True,False,False,9701
264,503,8400,1999-03-16,1959-12-03,False,True,False,False,False,False,False,False,14348
265,506,4100,2016-09-21,1959-11-28,False,False,False,False,False,False,True,False,20752
266,507,7400,2011-06-22,1960-01-18,False,True,False,False,False,False,False,False,18783
267,507,4800,2011-06-22,1960-01-18,False,True,False,False,False,False,False,False,18783
268,513,4800,2024-03-08,1962-12-04,False,False,False,False,False,False,False,True,22375
269,525,4560,2012-11-29,1960-06-07,False,True,False,False,False,False,False,False,19168
270,525,4000,2012-11-29,1960-06-07,False,True,False,False,False,False,False,False,19168
271,525,7400,2012-11-29,1960-06-07,False,True,False,False,False,False,False,False,19168
272,525,2900,2012-11-29,1960-06-07,False,True,False,False,False,False,False,False,19168
273,526,4100,2007-08-27,1960-02-27,False,True,False,False,False,False,False,False,17348
274,527,8600,1998-09-30,1961-01-23,False,True,False,False,False,False,False,False,13764
275,528,4535,2011-10-23,1959-12-23,False,False,False,False,False,True,False,False,18932
276,528,4535,2011-10-23,1962-04-12,False,False,False,False,False,True,False,False,18091
277,530,4800,2023-02-10,1960-01-07,False,False,False,False,False,False,False,True,23045
278,531,8400,1960-08-01,1960-08-07,False,False,False,False,False,False,True,False,-6
279,532,8400,1989-03-15,1960-03-03,False,True,False,False,False,False,False,False,10604
280,533,8400,1997-03-19,1960-02-02,False,True,False,False,False,False,False,False,13560
